Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
BellmanFord,10,8.3,0.255661308
BellmanFord,50,6.64,0.168450106
BellmanFord,100,6.69,0.175037089
BellmanFord,200,8.57,0.218548611
BellmanFord,300,11.770000000000001,0.295758921
BellmanFord,400,24.24,0.464981131
BellmanFord,500,23.99,0.569875271
BellmanFord,600,31.330000000000002,0.743436857
BellmanFord,700,39.96,0.941444843
BellmanFord,800,52.46,1.256109892
BellmanFord,900,63.62,1.492341307
BellmanFord,1000,77.27000000000001,1.781746663
BellmanFord,1500,7.790000000000001,0.193676844
BellmanFord,2000,8.610000000000001,0.207391819
BellmanFord,2500,9.33,0.23622733
BellmanFord,3000,10.48,0.266857411
BellmanFord,3500,12.53,0.303821406
BellmanFord,4000,15.129999999999999,0.362400915
BellmanFord,4500,15.920000000000002,0.399774831
BellmanFord,5000,19.67,0.476951624
BellmanFord,5500,22.459999999999997,0.529877716
BellmanFord,6000,26.500000000000004,0.599297025
BellmanFord,6500,29.49,0.716098073
BellmanFord,7000,43.85,0.819488334
BellmanFord,7500,58.129999999999995,0.926936952
BellmanFord,8000,46.43,0.960186733
BellmanFord,9500,51.91,1.284687274
BellmanFord,10000,61.41,1.480502425
