Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
Dijkstra,10,9.06,0.182500072
Dijkstra,50,7.210000000000001,0.168578806
Dijkstra,100,8.22,0.180021168
Dijkstra,200,10.180000000000001,0.234037568
Dijkstra,300,11.480000000000002,0.272324607
Dijkstra,400,16.2,0.38361013
Dijkstra,500,22.59,0.522870712
Dijkstra,600,29.669999999999998,0.677324738
Dijkstra,700,34.86,0.789015408
Dijkstra,800,47.58,1.092666257
Dijkstra,900,59.75,1.317660074
Dijkstra,1000,70.14,1.624031796
Dijkstra,1500,11.110000000000001,0.198813701
Dijkstra,2000,8.75,0.204964724
Dijkstra,2500,9.44,0.213313814
Dijkstra,3000,9.770000000000001,0.241357672
Dijkstra,3500,12.549999999999999,0.28806835
Dijkstra,4000,13.219999999999999,0.313843247
Dijkstra,4500,15.1,0.349980687
Dijkstra,5000,16.28,0.39134429
Dijkstra,5500,17.22,0.410988814
Dijkstra,6000,21.54,0.478486504
Dijkstra,6500,20.98,0.480707225
Dijkstra,7000,40.290000000000006,0.644440459
Dijkstra,7500,44.45,0.712716068
Dijkstra,8000,43.519999999999996,0.751962926
Dijkstra,9500,37.449999999999996,0.797754221
Dijkstra,10000,45.27,1.058670262
